Month (t),Date,Open,High,Low,Close*,Adj Close**,Volume,GSPC Stock Return ,GSPC_percent_return,Open,High,Low,Close,Adj Close,Volume,AAPL Stock Return,AAPL_percent_return,Open,High,Low,Close,Adj Close,Volume,INTC Stock Return,INTC_percent_return,Open,High,Low,Close,Adj Close,Volume,KR Stock Return,KR_percent_return
11,1-Nov-15,"2,080.76","2,116.48","2,019.39","2,080.41","2,080.41","75,943,590,000",0,0.05,30.200001,30.955,27.75,29.575001,27.156012,3002562400,-0.01,-1.004,33.73,35.290001,31.93,34.77,29.625622,459871400,0.02687539,2.688,37.799999,38.25,36,37.66,33.636452,160453400,-0.003703569,-0.37
12,1-Dec-15,"2,082.93","2,104.27","1,993.26","2,043.94","2,043.94","83,649,260,000",-0.02,-1.753,29.6875,29.965,26.205,26.315001,24.266083,3687660800,-0.106,-10.642,35,35.59,33.82,34.450001,29.559742,427664700,-0.002223751,-0.222,38.009998,42.75,37.849998,41.830002,37.466679,184553200,0.113871314,11.387
13,1-Jan-16,"2,038.20","2,038.20","1,812.29","1,940.24","1,940.24","92,409,770,000",-0.05,-5.074,25.6525,26.4625,23.0975,24.334999,22.440248,5087392000,-0.075,-7.524,33.880001,34.009998,29.209999,31.02,26.616634,615464900,-0.099564739,-9.956,41.16,42.419998,36.439999,38.810001,34.761696,177245200,-0.072197031,-7.22
14,1-Feb-16,"1,936.94","1,962.96","1,810.10","1,932.23","1,932.23","93,049,560,000",0,-0.413,24.1175,24.7225,23.147499,24.172501,22.290403,3243450400,-0.007,-0.668,30.719999,31.120001,27.68,29.59,25.389624,526508800,-0.046099368,-4.61,38.740002,40.470001,35.419998,39.91,35.74696,174449700,0.028343381,2.834
15,1-Mar-16,"1,937.09","2,072.21","1,937.09","2,059.74","2,059.74","92,639,420,000",0.07,6.599,24.4125,27.605,24.355,27.247499,25.262316,2984198400,0.133,13.333,29.93,32.75,29.75,32.349998,28.002144,471958200,0.102897152,10.29,40.360001,40.91,36.459999,38.25,34.358334,225980800,-0.038845989,-3.885
16,1-Apr-16,"2,056.62","2,111.05","2,033.80","2,065.30","2,065.30","81,124,990,000",0,0.27,27.195,28.0975,23.127501,23.434999,21.727585,3489534800,-0.14,-13.992,32.27,32.470001,30.1,30.280001,26.210363,515836800,-0.063987279,-6.399,37.939999,39.220001,34.779999,35.389999,31.789322,164310600,-0.074771146,-7.477
17,1-May-16,"2,067.17","2,103.48","2,025.91","2,096.95","2,096.95","78,883,600,000",0.02,1.532,23.4925,25.182501,22.3675,24.965,23.146114,3602686000,0.065,6.529,30.450001,31.65,29.5,31.59,27.344297,431523200,0.043262812,4.326,35.52,36.049999,33.619999,35.759998,32.121677,151237500,0.010454926,1.045
18,1-Jun-16,"2,093.94","2,120.55","1,991.68","2,098.86","2,098.86","86,852,700,000",0,0.091,24.754999,25.4725,22.875,23.9,22.293617,3117990800,-0.037,-3.683,31.620001,33,30.440001,32.799999,28.636917,484891000,0.047272014,4.727,35.790001,37,33.900002,36.790001,33.145638,223961500,0.03187757,3.188
19,1-Jul-16,"2,099.34","2,177.09","2,074.02","2,173.60","2,173.60","69,530,250,000",0.04,3.561,23.872499,26.137501,23.592501,26.0525,24.301449,2743118400,0.09,9.006,32.639999,35.93,32.380001,34.860001,30.43545,530528900,0.062804701,6.28,36.889999,37.970001,33.810001,34.189999,30.803194,146527400,-0.07067126,-7.067
20,1-Aug-16,"2,173.15","2,193.81","2,147.58","2,170.95","2,170.95","75,610,310,000",0,-0.122,26.102501,27.557501,26,26.525,24.742184,2520514000,0.018,1.814,34.82,35.900002,33.990002,35.889999,31.334721,390892300,0.029546828,2.955,34.200001,34.34,31.450001,31.99,28.821123,232487300,-0.064346282,-6.435
21,1-Sep-16,"2,171.33","2,187.87","2,119.12","2,168.27","2,168.27","77,270,240,000",0,-0.123,26.535,29.045,25.6325,28.262501,26.505718,3872062400,0.071,7.128,35.990002,38.049999,35.060001,37.75,33.208473,505600300,0.059797947,5.98,32.099998,32.810001,29.49,29.68,26.839045,262088500,-0.068771713,-6.877
